valor,unidadeDeMedida,dataHora,descricao,tipo
0,MB,"2024-11-24 20:53:18","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:53:20","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:53:20","Uso de Memória RAM",Memória
7.7,%,"2024-11-24 20:53:20","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:20","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:53:20","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:53:22","Uso de Armazenamento",Armazenamento
7,GB,"2024-11-24 20:53:22","Uso de Memória RAM",Memória
2.7,%,"2024-11-24 20:53:22","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:22","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:53:22","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:53:55",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:53:55",BytesRecebidos,"Placa de Rede"
475,GB,"2024-11-24 20:53:55","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 20:53:55","Memória RAM Total",Memória
461,GB,"2024-11-24 20:53:55","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:53:55","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:53:55","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:55","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:53:55","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:53:57","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:53:57","Uso de Memória RAM",Memória
7.1,%,"2024-11-24 20:53:57","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:53:57","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:53:57","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:54:00","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:54:00","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:54:00","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:54:00","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:54:00","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:54:53",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:54:53",BytesRecebidos,"Placa de Rede"
475,GB,"2024-11-24 20:54:54","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 20:54:54","Memória RAM Total",Memória
461,GB,"2024-11-24 20:54:54","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:54:54","Uso de Memória RAM",Memória
2.7,%,"2024-11-24 20:54:54","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:54:54","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:54:54","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:54:57","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:54:57","Uso de Memória RAM",Memória
9.5,%,"2024-11-24 20:54:57","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:54:57","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:54:57","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:54:59","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:54:59","Uso de Memória RAM",Memória
8.2,%,"2024-11-24 20:54:59","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:54:59","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:54:59","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:55:37",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:55:37",BytesRecebidos,"Placa de Rede"
475,GB,"2024-11-24 20:55:39","Armazenamento Total",Armazenamento
7.4,GB,"2024-11-24 20:55:39","Memória RAM Total",Memória
461,GB,"2024-11-24 20:55:39","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:39","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:55:39","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:39","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:39","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:55:41","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:41","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:55:41","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:41","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:41","Perda de Pacotes","Placa de Rede"
13,MB,"2024-11-24 20:55:42",BytesEnviados,"Placa de Rede"
179,MB,"2024-11-24 20:55:42",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:55:43","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:43","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:55:43","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:43","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:43","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:55:45","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:45","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:55:45","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:46","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:46","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:55:47",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:55:47",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:55:48","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:48","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:55:48","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:48","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:48","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:55:50","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:50","Uso de Memória RAM",Memória
2.6,%,"2024-11-24 20:55:50","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:50","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:50","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:55:52",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:55:52",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:55:52","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:52","Uso de Memória RAM",Memória
7.9,%,"2024-11-24 20:55:52","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:52","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:52","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:55:54","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:55:54","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:55:54","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:54","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:54","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:55:57","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:55:57","Uso de Memória RAM",Memória
9.7,%,"2024-11-24 20:55:57","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:57","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:57","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:55:57",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:55:57",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:55:59","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:55:59","Uso de Memória RAM",Memória
1.3,%,"2024-11-24 20:55:59","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:55:59","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:55:59","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:01","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:56:01","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:01","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:01","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:01","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:02",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:02",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:03","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:56:03","Uso de Memória RAM",Memória
5.2,%,"2024-11-24 20:56:03","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:03","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:03","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:05","Uso de Armazenamento",Armazenamento
6.7,GB,"2024-11-24 20:56:05","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:05","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:05","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:06","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:07",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:07",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:08","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:08","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:08","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:08","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:08","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:10","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:10","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:10","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:10","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:10","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:12",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:12",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:12","Uso de Armazenamento",Armazenamento
6.9,GB,"2024-11-24 20:56:12","Uso de Memória RAM",Memória
2.4,%,"2024-11-24 20:56:12","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:12","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:12","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:14","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:14","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:56:14","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:14","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:14","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:17","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:17","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:17","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:17","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:17","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:18",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:18",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:19","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:19","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:19","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:19","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:19","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:21","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:21","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:21","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:21","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:21","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:23",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:23",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:23","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:23","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:23","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:23","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:23","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:25","Uso de Armazenamento",Armazenamento
6.8,GB,"2024-11-24 20:56:25","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:25","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:25","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:25","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:28",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:28",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:28","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:28","Uso de Memória RAM",Memória
4.1,%,"2024-11-24 20:56:28","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:28","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:28","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:30","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:56:30","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:30","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:30","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:30","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:32","Uso de Armazenamento",Armazenamento
14,MB,"2024-11-24 20:56:33",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:33",BytesRecebidos,"Placa de Rede"
6.3,GB,"2024-11-24 20:56:32","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:32","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:32","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:32","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:34","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:34","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:34","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:34","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:34","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:36","Uso de Armazenamento",Armazenamento
6.4,GB,"2024-11-24 20:56:36","Uso de Memória RAM",Memória
2.4,%,"2024-11-24 20:56:37","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:37","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:37","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:38",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:38",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:39","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:39","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:39","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:39","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:39","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:41","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:41","Uso de Memória RAM",Memória
31.5,%,"2024-11-24 20:56:41","Uso da CPU",Processador
3,Ghz,"2024-11-24 20:56:41","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:41","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:43",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:43",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:43","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:43","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:43","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:43","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:43","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:45","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:45","Uso de Memória RAM",Memória
1.4,%,"2024-11-24 20:56:45","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:45","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:45","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:48",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:48",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:48","Uso de Armazenamento",Armazenamento
6.5,GB,"2024-11-24 20:56:48","Uso de Memória RAM",Memória
1.3,%,"2024-11-24 20:56:48","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:48","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:48","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:50","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:50","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:50","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:50","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:50","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:52","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:52","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:56:52","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:52","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:52","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:53",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:53",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:54","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:54","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:54","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:54","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:54","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:56:56","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:56","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:56:56","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:56","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:56","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:56:58",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:56:58",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:56:59","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:56:59","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:56:59","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:56:59","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:56:59","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:01","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:01","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:01","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:01","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:01","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:03",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:03",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:03","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:03","Uso de Memória RAM",Memória
8.9,%,"2024-11-24 20:57:03","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:03","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:03","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:05","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:05","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:05","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:05","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:05","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:08",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:08",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:07","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:07","Uso de Memória RAM",Memória
1.3,%,"2024-11-24 20:57:07","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:07","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:08","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:10","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:10","Uso de Memória RAM",Memória
1.2,%,"2024-11-24 20:57:10","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:10","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:10","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:12","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:12","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:12","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:12","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:12","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:13",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:13",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:14","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:14","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:14","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:14","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:14","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:16","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:16","Uso de Memória RAM",Memória
2.6,%,"2024-11-24 20:57:16","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:16","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:16","Perda de Pacotes","Placa de Rede"
14,MB,"2024-11-24 20:57:18",BytesEnviados,"Placa de Rede"
180,MB,"2024-11-24 20:57:18",BytesRecebidos,"Placa de Rede"
461,GB,"2024-11-24 20:57:19","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:19","Uso de Memória RAM",Memória
0,%,"2024-11-24 20:57:19","Alerta: Alto uso da CPU!!",Processador
3,Ghz,"2024-11-24 20:57:19","Alerta: Alta Frequencia do processador",Processador
0,MB,"2024-11-24 20:57:19","Perda de Pacotes","Placa de Rede"
461,GB,"2024-11-24 20:57:21","Uso de Armazenamento",Armazenamento
6.3,GB,"2024-11-24 20:57:21","Uso de Memória RAM",Memória
